id,content
79,"If the front door is locked and the mode is set to ""Away"", then unlock the front door when a valid user code is entered on the keypad."
80,"If the bedroom window is open and the current time is past 10 pm, then turn off the bedroom lights."
81,"If the carbon monoxide detector detects a high level of carbon monoxide in the home, then turn on all connected smart lights, send a notification to the homeowner's phone, and activate a loud alarm to ensure the safety of the occupants."
82,"If the temperature in the bedroom rises above 75 degrees Fahrenheit, then turn on the bedroom fan using the temperature handler."
83,"If the current time is after 6 am and the SmartThings presence sensor detects that I have left the bed, then turn on the coffee maker."
84,"If the humidity level in the bathroom is higher than 60%, then turn on the bathroom exhaust fan."
85,"If the humidity sensor’s reading becomes greater than 80%, then turn off the bathroom fan."
86,"If the acceleration sensor detects movement along all three axis, then turn on the hallway lights."
87,"If the front door sensor is opened, then send a notification to your smartphone."
88,"If the front door is unlocked, then send a notification to the homeowner."
89,"If the front door is unlocked after 11 PM, then send a push notification to my phone."
90,"If the front door is unlocked, then send a notification to my phone."
91,"If the front door is unlocked at 10 pm, then turn on the hallway light."
92,"If the front door sensor is opened, then turn on the porch light for 5 minutes."
93,"If the front door is unlocked and it is after 10 PM, then send a notification to the homeowner."
94,"If the front door is unlocked after 9 pm, then send a push notification to the homeowner."
95,"If the front door is unlocked after 10pm, then send a notification to my smartphone."
96,"If the front door is unlocked, then turn on the porch light."
97,"If the front door is unlocked after sunset, then turn on the porch lights."
98,"If the front door is unlocked after 6 pm, then turn on the porch light."
99,"If the front door is unlocked after 9 PM, then turn on the foyer light for 5 minutes."
100,"If the front door is unlocked, then send a notification to my phone."
101,"If the front door is unlocked, then turn on the porch light."
102,"If the front door is unlocked, then turn on the front porch light."
103,"If the front door is unlocked, then send a notification to my phone."
104,"If the front door is unlocked after 10 PM, then turn on the porch lights."
105,"If the front door is unlocked and it is after 10 pm, then turn on the porch light."
106,"If the front door is unlocked after 10pm, then turn on the bedroom light."
107,"If the front door is unlocked after 9pm, then send a notification to the homeowner."
108,"If the front door is unlocked after 9pm, then turn on the porch light."
109,"If the front door is unlocked, then send a notification to the homeowner via the SmartThings app."
110,"If the front door is unlocked after 10 PM, then send a notification to the homeowner's phone."
111,"If the front door is unlocked and it is after 10 pm, then send a notification to my phone."
112,"If the front door is unlocked after 10:00 pm, then turn on the entryway light."
113,"If the front door unlocks, then turn on the hallway light."
114,"If the front door is unlocked after 11pm, then turn on the hallway light."
115,"If the front door is unlocked after 9 pm, then turn on the bedroom lights."
116,"If the front door is open, then turn on the entryway light."
117,"If the front door is unlocked after 9 PM, then send a notification to my phone."
118,"If the front door is unlocked after 10:00 PM, then send a notification to your phone."
119,"If the front door is unlocked, then send a push notification to my phone."
120,"If the front door is unlocked after 10 pm, then send a notification to your phone."
121,"If the front door opens, then send a notification to the homeowner."
122,"If the front door is unlocked after 10 pm, then send a notification to your phone."
123,"If the front door is opened, then turn on the hallway light."
124,"If the front door is unlocked and it is 10 PM, then turn off all lights and lock the front door."
125,"If the front door is unlocked after 9 PM, then turn on the hallway light."
126,"If the front door opens, then play a chime sound on the speaker."
127,"If the front door is unlocked, then turn on the porch light."
128,"If the front door opens, then send a notification to my phone."
129,"If the front door is opened, then turn on the hallway light."
130,"If the front door is unlocked, then send a notification to my smartphone."
131,"If the front door is open for more than 5 minutes, then turn off the hallway light."
132,"If the front door opens, then turn on the porch light."
133,"If the front door is opened, then turn on the foyer light."
134,"If the front door opens, then turn on the hallway light."
135,"If the front door is opened, then turn on the hallway light."
136,"If the front door is opened, then turn on the hallway light."
137,"If the front door opens, then turn on the porch light."
138,"If the front door is unlocked, then send a notification to my phone."
139,"If the front door opens, then send a notification to my phone."
140,"If the front door opens, then turn on the hallway light."
141,"If the back door opens, then turn off the kitchen lights."
142,"If the front door is opened, then send a notification to my phone."
143,"If the front door is unlocked, then turn on the hallway lights."
144,"If the front door is opened, then turn on the porch light."
145,"If the temperature is above 75 degrees, then turn on the air conditioning."
146,"If the humidity level is above 50%, then turn on the dehumidifier."
147,"If it's after sunset and the living room motion sensor is tripped, then turn on the TV."
148,"If the front door is opened, then turn on the hallway light."
149,"If the front door opens after sunset, then turn on the porch lights. "
150,"If the smoke detector senses smoke, then turn on all the lights and sirens."
151,"If the front door is opened, then turn on the porch light."
152,"If the garage door is opened, then turn on the foyer light."
153,"If the front door is unlocked, then send a notification to my phone."
154,"If the bedroom window is opened, then turn on the fan."
155,"If the front door is opened, then send a notification to your phone."
156,"If the front door sensor is opened, and it's after sunset, then turn on the porch light."
157,"If the front door opens, then turn on the entryway light and send a notification."
158,"If a window is opened, then turn off the thermostat in that room."
159,"If the front door is unlocked and it is after 10 pm, then turn on the front porch light."
160,"If the temperature in the bedroom is below 68 degrees Fahrenheit, then turn on the space heater. If the temperature reaches 70 degrees Fahrenheit, then turn off the space heater."
161,"If the front door is locked, then turn off all lights and thermostats in the house."
162,"If the front door is unlocked and it is after 10 pm, then send a notification to my phone."
163,"If the front door is unlocked and it's after 8pm, then turn off all lights and lower the thermostat."
164,"If the front door is unlocked and it is after 10 pm, then send a notification to my phone."
165,"If indoor temperature is above 80 degree, then open windows"
166,"If the front door is unlocked and it is after 10 PM, then turn off all lights in the house."
167,"If the front door contact sensor is opened, then turn on the foyer light and send a notification to the homeowner's phone."
168,"If the front door is unlocked after 9pm, then turn on the entryway light and send a notification."
169,"Turn on the light at 7 pm"
170,"If the front door is unlocked and it's past 10 PM, then turn on the porch light."
171,"If the door is unlocked after 7 PM, then turn on the porch light."
172,"If the front door is left unlocked after 8 PM, then send a notification to my phone."
173,"If the front door is unlocked, then turn on the porch light and a notification is sent to my phone."
174,"If the front door opens and it's after sunset, then turn on the porch lights."
175,"If the front door is unlocked and it's after 8 pm, then turn on the porch light."
176,"If the outside temperature is above 70 degree and time is 11 am, then open windows."
177,"If the smoke is detected, unlock the door."
178,"If the front door is unlocked and it is after sunset, then turn on the porch light for 10 minutes."
179,"If the front door is unlocked, then send a notification to my phone."
180,"If the front door is unlocked and it is after 9pm, then send a push notification to my phone."
181,"If the front door sensor is triggered, then send a notification to your phone and turn on the porch light."
182,"If the temperature drops below 65 degrees Fahrenheit, then turn on the heater. If the temperature rises above 70 degrees Fahrenheit, then turn off the heater."
183,"If the front door opens, then turn on the front porch light and send a notification to my phone."
184,"If the front door is unlocked and it is after sunset, then turn on the front porch light."
